ConsoID,ConsolidatedAmountID,CurrCode,Amount,TransactionCurrCode,TransactionAmount
2,229826896,EUR,-1466780.72,NULL,NULL
2,229826897,EUR,-188716.24,NULL,NULL
2,229826898,EUR,-2945728.97,NULL,NULL
2,229826899,EUR,-2161.34,NULL,NULL
2,229826900,EUR,-180589.12,NULL,NULL
2,229826901,EUR,-87804.93,NULL,NULL
2,229826902,EUR,8134298.01,NULL,NULL
2,229826903,EUR,78733.87,NULL,NULL
2,229826904,EUR,-33809.06,NULL,NULL
2,229826905,EUR,184043.45,NULL,NULL
2,229826906,EUR,195872.08,NULL,NULL
2,229826907,EUR,731754.5,NULL,NULL
2,229826908,EUR,5614382.29,NULL,NULL
2,229826909,EUR,393126.25,NULL,NULL
2,229826910,EUR,-36362.94,NULL,NULL
2,229826911,EUR,-134946.54,NULL,NULL
2,229826912,EUR,103664.06,NULL,NULL
2,229826913,EUR,297656.01,NULL,NULL
2,229826914,EUR,19398.42,NULL,NULL
2,229826915,EUR,0.23,NULL,NULL
2,229826916,EUR,0,NULL,NULL
2,229826917,EUR,104333.62,NULL,NULL
2,229826918,EUR,-7091642.6,NULL,NULL
2,229826919,EUR,0,NULL,NULL
2,229826920,EUR,-144049.08,NULL,NULL
2,229826921,EUR,-177.14,NULL,NULL
2,229826922,EUR,-1365580.21,NULL,NULL
2,229826923,EUR,-38745.99,NULL,NULL
2,229826924,EUR,213618.93,NULL,NULL
2,229826925,EUR,218340.1,NULL,NULL
2,229826926,EUR,5024762.02,NULL,NULL
2,229826927,EUR,-214136.81,NULL,NULL
2,229826928,EUR,-37164.22,NULL,NULL
2,229826929,EUR,-1224729.08,NULL,NULL
2,229826930,EUR,-80151.74,NULL,NULL
2,229826931,EUR,54196.93,NULL,NULL
2,229826932,EUR,224501.72,NULL,NULL
2,229826933,EUR,24818.65,NULL,NULL
2,229826934,EUR,10528.28,NULL,NULL
2,229826935,EUR,19497.18,NULL,NULL
2,229826936,EUR,14572.19,NULL,NULL
2,229826937,EUR,1597.06,NULL,NULL
2,229826938,EUR,37032.52,NULL,NULL
2,229826939,EUR,14597.51,NULL,NULL
2,229826940,EUR,-929.37,NULL,NULL
2,229826941,EUR,-8207022.25,NULL,NULL
2,229826942,EUR,-5547266.34,NULL,NULL
2,229826943,EUR,226.41,NULL,NULL
2,229826944,EUR,3864415.35,NULL,NULL
2,229826945,EUR,344514.09,NULL,NULL
2,229826946,EUR,130819.45,NULL,NULL
2,229826947,EUR,-26156.23,NULL,NULL
2,229826948,EUR,-39969.92,NULL,NULL
2,229826949,EUR,-274747.79,NULL,NULL
2,229826950,EUR,0,NULL,NULL
2,229826951,EUR,38205.24,NULL,NULL
2,229826952,EUR,8038.19,NULL,NULL
2,229826953,EUR,67949.95,NULL,NULL
2,229826954,EUR,28630.63,NULL,NULL
2,229826955,EUR,64566.67,NULL,NULL
2,229826956,EUR,17323.5,NULL,NULL
2,229826957,EUR,-16679.66,NULL,NULL
2,229826958,EUR,-293356.14,NULL,NULL
2,229826959,EUR,-595410.47,NULL,NULL
2,229826960,EUR,79183.41,NULL,NULL
2,229826961,EUR,1932.44,NULL,NULL
2,229826962,EUR,-148412.06,NULL,NULL
2,229826963,EUR,6441.98,NULL,NULL
2,229826964,EUR,6418.71,NULL,NULL
2,229826965,EUR,-3029271.84,NULL,NULL
2,229826966,EUR,-43840.98,NULL,NULL
2,229826967,EUR,2296193.49,NULL,NULL
2,229826968,EUR,6004392.11,NULL,NULL
2,229826969,EUR,37150.75,NULL,NULL
2,229826970,EUR,291814.66,NULL,NULL
2,229826971,EUR,198178.22,NULL,NULL
2,229826972,EUR,169883.27,NULL,NULL
2,229826973,EUR,27782.32,NULL,NULL
2,229826974,EUR,9643.99,NULL,NULL
2,229826975,EUR,-76268.67,NULL,NULL
2,229826976,EUR,-4937.41,NULL,NULL
2,229826977,EUR,-101913.6,NULL,NULL
2,229826978,EUR,-1500000,NULL,NULL
2,229826979,EUR,-202800.13,NULL,NULL
2,229826980,EUR,-47640788.12,NULL,NULL
2,229826981,EUR,-65515881.76,NULL,NULL
2,229826982,EUR,-1665186.5,NULL,NULL
2,229826983,EUR,-690495.93,NULL,NULL
2,229826984,EUR,-9898133.38,NULL,NULL
2,229826985,EUR,56672178.51,NULL,NULL
2,229826986,EUR,11434749.83,NULL,NULL
2,229826987,EUR,-10411920.96,NULL,NULL
2,229826988,EUR,9431275.91,NULL,NULL
2,229826989,EUR,23637589.99,NULL,NULL
2,229826990,EUR,3988758.21,NULL,NULL
2,229826991,EUR,-2764195.14,NULL,NULL
2,229826992,EUR,-1262277.87,NULL,NULL
2,229826993,EUR,1309347.83,NULL,NULL
2,229826994,EUR,1366969.18,NULL,NULL
2,229826995,EUR,-75000,NULL,NULL
2,229826996,EUR,1078142.18,NULL,NULL
2,229826997,EUR,520332.01,NULL,NULL
2,229826998,EUR,12291.28,NULL,NULL
2,229826999,EUR,-73547339.45,NULL,NULL
2,229827000,EUR,-46309.95,NULL,NULL
2,229827001,EUR,-300000,NULL,NULL
2,229827002,EUR,1120566.23,NULL,NULL
2,229827003,EUR,33291177.55,NULL,NULL
2,229827004,EUR,1523138.12,NULL,NULL
2,229827005,EUR,13939437.3,NULL,NULL
2,229827006,EUR,3467500,NULL,NULL
2,229827007,EUR,4437723.03,NULL,NULL
2,229827008,EUR,-4447460.28,NULL,NULL
2,229827009,EUR,-253765.32,NULL,NULL
2,229827010,EUR,-2494924.85,NULL,NULL
2,229827011,EUR,907704.78,NULL,NULL
2,229827012,EUR,4750140.29,NULL,NULL
2,229827013,EUR,662031.28,NULL,NULL
2,229827014,EUR,86016.71,NULL,NULL
2,229827015,EUR,356783.41,NULL,NULL
2,229827016,EUR,128628.03,NULL,NULL
2,229827017,EUR,612308.18,NULL,NULL
2,229827018,EUR,1974446.33,NULL,NULL
2,229827019,EUR,-13098.68,NULL,NULL
2,229827020,EUR,-9203.05,NULL,NULL
2,229827021,EUR,-5553.15,NULL,NULL
2,229827022,EUR,-3074,NULL,NULL
2,229827023,EUR,-300000,NULL,NULL
2,229827024,EUR,-2814276.93,NULL,NULL
2,229827025,EUR,-1339355.19,NULL,NULL
2,229827026,EUR,-53604795.75,NULL,NULL
2,229827027,EUR,-3421520,NULL,NULL
2,229827028,EUR,-3135859.64,NULL,NULL
2,229827029,EUR,29331077.72,NULL,NULL
2,229827030,EUR,694907.67,NULL,NULL
2,229827031,EUR,3909601.71,NULL,NULL
2,229827032,EUR,0,NULL,NULL
2,229827033,EUR,-1944074.48,NULL,NULL
2,229827034,EUR,1313678.36,NULL,NULL
2,229827035,EUR,595340.53,NULL,NULL
2,229827036,EUR,1155689.76,NULL,NULL
2,229827037,EUR,398870.41,NULL,NULL
2,229827038,EUR,782460.21,NULL,NULL
2,229827039,EUR,149880.08,NULL,NULL
2,229827040,EUR,-150000,NULL,NULL
2,229827041,EUR,-38710.71,NULL,NULL
2,229827042,EUR,-1704399.7,NULL,NULL
2,229827043,EUR,-119361.96,NULL,NULL
2,229827044,EUR,2243967.26,NULL,NULL
2,229827045,EUR,-21101238.21,NULL,NULL
2,229827046,EUR,12684,NULL,NULL
2,229827047,EUR,2089046.19,NULL,NULL
2,229827048,EUR,-35946561.6,NULL,NULL
